university,sex,age,address,motherEducation,fatherEducation,reason,travelTime,studyTime,failures,universitySupport,paid,higher,internet,romantic,freeTime,goOut,Dalc,Walc,absences,EPSGrade,DSGrade,finalGrade
CM,M,18,R,3,2,course,2,1,1,no,no,yes,yes,no,5,5,5,5,10,11,13,13
CM,M,19,R,1,1,home,3,2,3,no,no,yes,yes,no,4,4,3,3,8,8,7,8
CM,M,17,U,3,3,course,2,2,0,no,yes,yes,yes,no,5,4,2,3,2,13,13,13
CM,M,18,U,1,3,course,1,1,1,no,no,no,yes,yes,3,3,2,3,7,8,7,8
CM,M,19,R,1,1,home,3,1,1,no,no,yes,yes,no,4,4,3,3,4,8,8,8
CM,M,17,R,4,3,home,2,2,0,no,yes,yes,yes,yes,5,5,1,3,4,13,11,11
CM,F,18,U,3,3,course,1,2,0,no,no,yes,no,yes,3,4,1,1,0,10,9,9
CM,F,17,R,4,4,course,2,2,0,no,yes,yes,yes,no,3,3,1,2,4,12,13,13
CM,F,17,U,3,2,reputation,2,2,0,no,no,yes,no,yes,2,3,1,2,2,12,12,11
CM,M,18,U,1,1,home,2,1,0,no,no,yes,yes,yes,3,2,1,2,4,10,10,10
CM,F,18,U,1,1,course,2,3,0,no,no,yes,yes,no,3,2,1,1,0,18,16,16
CM,F,18,R,1,4,course,3,2,0,no,no,yes,no,yes,3,4,1,4,0,13,13,13
CM,M,18,R,1,1,course,2,2,1,no,no,no,no,no,4,3,2,3,2,13,12,12
CM,F,18,U,3,3,course,2,2,0,no,no,yes,yes,yes,3,2,1,3,0,11,11,10
CM,F,17,U,4,4,course,1,2,0,no,yes,yes,yes,yes,3,4,1,1,0,16,15,15
CM,F,17,R,1,2,course,2,2,0,no,no,yes,no,no,2,2,1,2,0,12,11,12
CM,M,18,R,1,3,course,2,2,0,no,yes,yes,no,no,3,4,2,4,4,10,10,10
CM,M,18,U,4,4,course,2,3,0,no,yes,yes,yes,yes,2,2,2,2,0,13,13,13
CM,F,17,R,1,1,reputation,3,1,1,no,yes,yes,yes,yes,2,1,1,2,0,7,6,0
CM,F,18,U,2,3,course,2,1,0,no,yes,yes,yes,yes,2,3,1,2,0,11,10,10
CM,F,18,R,4,4,course,3,2,0,no,yes,yes,yes,yes,2,2,4,2,10,14,12,11
CM,F,19,U,3,2,home,2,2,2,no,no,yes,no,yes,2,2,1,1,4,7,7,9
CM,M,18,R,1,2,course,3,1,0,no,yes,no,yes,yes,3,3,2,3,3,14,12,12
CM,F,17,U,2,2,home,1,3,0,no,no,yes,no,yes,4,3,1,1,8,13,11,11
CM,F,17,R,1,2,course,1,1,0,no,no,yes,yes,no,5,5,1,3,14,6,5,5
CM,F,18,R,4,4,reputation,2,3,0,no,no,yes,yes,no,4,4,1,1,0,19,18,19
CM,F,18,R,1,1,home,4,3,0,no,no,yes,yes,no,3,2,1,2,2,8,8,10
CM,F,20,U,4,2,course,2,3,2,no,yes,yes,yes,yes,4,3,1,1,4,15,14,15
CM,F,18,R,4,4,course,1,2,0,no,yes,yes,yes,no,4,3,3,4,4,8,9,10
CM,F,18,U,3,3,home,1,2,0,no,yes,yes,yes,yes,1,3,1,2,0,15,15,15
CM,F,17,R,3,1,reputation,1,2,0,no,yes,yes,yes,no,5,4,2,3,17,10,10,10
CM,M,18,U,4,4,home,1,2,0,no,yes,yes,yes,no,2,4,1,4,4,15,14,14
CM,M,18,R,2,1,course,2,1,0,no,no,yes,yes,yes,4,3,1,3,5,7,6,7
CM,M,17,U,2,3,home,2,2,0,no,no,yes,yes,no,4,3,1,1,2,11,11,10
CM,M,19,R,1,1,course,2,1,1,no,no,yes,no,no,3,2,1,3,0,6,5,0
CM,M,18,R,4,2,home,2,1,1,no,yes,yes,no,no,4,3,4,3,14,6,5,5
CM,F,18,R,2,2,course,2,3,0,no,yes,yes,no,no,3,3,1,3,2,10,9,10
CM,F,18,R,4,4,reputation,3,1,0,no,yes,yes,yes,yes,4,3,2,2,7,6,5,6
CM,F,19,R,2,3,course,1,3,1,no,no,yes,yes,no,4,2,1,2,0,7,5,0
CM,F,18,U,3,1,course,1,2,0,no,yes,yes,yes,no,3,4,1,1,0,7,9,8
CM,F,18,U,1,1,course,2,2,1,no,no,yes,no,no,1,1,1,1,0,6,5,0
CM,M,20,U,2,2,course,1,2,2,no,yes,yes,no,no,5,4,4,5,11,9,9,9
CM,M,17,U,3,1,course,2,1,0,no,no,yes,yes,no,4,5,3,4,3,14,16,16
CM,M,21,R,1,1,course,1,1,3,no,no,yes,no,no,5,3,3,3,3,10,8,7
CM,M,18,R,3,2,course,3,1,0,no,no,yes,yes,no,4,1,3,4,0,11,12,10
CM,M,19,U,1,1,course,1,1,0,no,no,yes,yes,no,2,3,3,3,5,8,9,9
CM,M,19,R,1,1,course,2,1,1,no,no,yes,no,no,3,2,1,3,0,6,5,0
